cm,pass,raw,volts
10,1,777,2.506
20,1,724,2.335
30,1,569,1.835
40,1,436,1.406
50,1,348,1.123
60,1,285,0.919
70,1,241,0.777
80,1,212,0.684
90,1,184,0.594
100,1,162,0.523
110,1,142,0.458
120,1,125,0.403
130,1,119,0.384
140,1,114,0.368
150,1,130,0.418
10,2,779,2.513
20,2,721,2.326
30,2,562,1.813
40,2,430,1.387
50,2,344,1.111
60,2,279,0.900
70,2,230,0.742
80,2,100,0.323
90,2,8,0.026
100,2,8,0.026
110,2,8,0.026
120,2,8,0.026
130,2,8,0.026
140,2,8,0.026
150,2,741,2.390
10,3,785,2.532
20,3,726,2.342
30,3,570,1.839
40,3,438,1.413
50,3,348,1.123
60,3,288,0.929
70,3,244,0.787
80,3,215,0.694
90,3,187,0.603
100,3,167,0.539
110,3,151,0.487
120,3,133,0.429
130,3,122,0.394
140,3,111,0.358
150,3,101,0.326
10,4,772,2.489
20,4,727,2.345
30,4,569,1.835
40,4,439,1.416
50,4,348,1.123
60,4,286,0.923
70,4,241,0.777
80,4,212,0.684
90,4,184,0.594
100,4,164,0.529
110,4,144,0.465
120,4,128,0.413
130,4,117,0.377
140,4,104,0.335
150,4,92,0.297
